Vowel	Dur	F1	F2	SE
eh	448	539	1894	0.6
eh	66	520	2172	2.3
a	41	609	1517	2.9
U	38	370	1161	0.6
a	71	671	1283	4.4
U	35	319	1705	0.2
e	60	384	1913	2.6
a	196	560	1456	1.5
A	38	474	1444	0.9
o	81	375	1017	1.3
Ia	186	339	2002	0.5
i	73	350	2216	1.3
a	64	526	2040	1.7
i	83	385	2264	1.1
e	35	435	1701	2.5
aI	105	550	1644	4
a	55	590	1455	3
o	37	410	1149	1.1
Ia	91	294	2033	0.2
U	31	372	1131	0.7
a	67	725	1232	8.1
U	30	367	1621	1.4
I	32	305	1906	0.1
eI	83	388	1682	0.7
U	53	311	1399	0.2
a	121	588	1580	1.6
a	34	439	1527	1.1
I	26	322	2052	0.2
o	55	379	985	0.8
Ia	196	347	2017	1
eh	290	572	1895	1.9
O	46	420	1742	0.5
e	44	416	1758	2.5
i	102	321	1492	0.2
E	59	375	1792	0.3
aU	112	536	1217	4.4
U	58	396	1046	2.2
aU	210	684	1068	3.3
aI	59	409	1928	1.5
e	40	436	1425	2.7
aI	79	540	1707	4.6
I	42	307	1947	0.2
eh	257	572	2032	2.3
a	87	698	1536	2.9
o	40	397	991	2.5
Ia	97	561	1668	4.2
eh	132	574	1936	1.9
aI	88	692	1816	1.7
aI	65	587	1465	4
A	55	701	1351	7
a	278	712	1373	4.6
U	25	367	1132	0.5
E	51	402	1787	0.7
E	51	378	1929	0.5
A	101	550	1787	2.2
i	88	248	2111	0.2
A	48	399	1887	0.8
E	31	378	1724	0.8
E	35	331	1981	0.4
A	49	442	1723	1.6
i	32	331	1852	0.4
A	63	507	1234	2.6
E	83	418	1776	1.6
aU	272	693	1212	3.7
e	32	404	1661	1
eh	156	652	1766	3.5
aI	77	542	1482	2.6
A	41	586	1194	3.4
a	59	539	1180	1.4
e?	32	427	1107	1.3
A	70	498	1553	2.9
oh	65	528	1216	3
I	42	338	1881	0.7
U	32	326	1299	0.3
A	61	512	1488	2.3
iU	60	364	1420	0.5
aU	101	538	1060	3.6
A	88	555	1264	2.8
A	40	427	1636	3.4
uA	173	303	739	1.1
i	55	371	1831	0.6
eh	178	340	1645	0.3
A	47	484	1630	0.8
eh	66	499	1846	0.8
A	87	521	1388	1.6
oI	156	352	1240	0.4
a	66	395	1598	1
i	94	351	1996	0.4
eh	142	604	1995	2.5
aI	60	484	1721	2.6
e	76	482	1903	2.5
oh	43	522	1062	3.9
A	51	429	1450	2.8
I	76	307	2164	0.2
Ioh	132	448	1018	1.7
I	37	285	1884	0.1
iE	152	357	2006	1
eI	286	367	2142	0.8
A	91	695	1785	0.5
aI	65	515	1868	1.1
eh	109	663	1722	3.3
A	85	703	1706	1
aI	90	525	1324	6.4
a	84	693	1389	6.6
U	23	316	1487	0.4
eU	66	447	1134	3.3
a	61	602	1398	5.2
U	48	332	1663	0.4
eR	78	410	1896	1
U	36	443	1697	4.1
aI	72	475	1262	2.9
e	53	394	1655	2.2
I	73	316	2084	0.08
I	47	278	2059	0.09
A	91	606	1579	4
iA	147	323	2236	0.5
A	64	562	1472	2.3
o	78	418	1429	1
a	44	482	1401	1.4
E	51	413	1866	1.5
a	165	716	1395	2.3
aI	117	589	1931	1.3
eR	61	387	825	2.5
A	52	451	1644	4.1
eh	261	572	1956	2
A	48	582	2184	1.6
oU	146	388	762	1.7
I	38	285	2135	0.04
A	41	442	1701	1.9
ehR	70	531	1720	1.8
a	107	542	1297	2
O	38	364	1061	1.1
A	58	560	1272	1.5
o	180	409	961	2.5
A	77	369	1660	0.6
aI	73	504	1510	1.3
eh	130	618	1757	3.3
i	78	422	2030	1.1
aI	98	414	2149	1.1
aI	65	521	1481	3.9
A	37	553	1189	4.1
a	45	547	1317	2.3
e	56	431	1410	3.5
U	102	359	937	1
E	30	368	1948	0.4
A	62	523	1252	3.9
A	61	505	1529	3.9
O	40	410	1104	2.9
Ia	124	576	1696	2.6
a	121	899	1498	0.8
a	101	735	1645	3.2
i	56	455	2153	1.4
a	57	560	1620	4.3
a	65	532	1504	4.6
A	53	386	1642	1.3
e	48	412	1595	1.4
aI	59	520	1636	3.5
E	61	415	1857	2
a	186	719	1446	5
eh	566	594	1883	2.5
uA	74	369	1004	0.4
U	24	325	1272	0.2
Ia	61	532	1481	3.7
u	56	308	887	0.5
U	45	361	1054	1.5
a	90	691	1199	5.9
U	26	312	1568	0.3
I	65	308	2075	0.1
eI	154	402	2103	1.5
A	33	375	1787	1.2
i	41	349	1790	1
aI	55	464	1659	3.3
eU	222	350	850	1.6
eU	57	480	1171	3.6
a	68	615	1073	3.7
U	26	312	1581	0.5
eI	67	370	1932	0.6
oh	121	530	977	3
i	40	297	2220	0.1
aI	88	462	1827	2.7
e	43	435	1518	2.5
aI	97	590	1619	4.7
eh	596	571	1959	2.2
I	29	311	1892	0.2
O	58	371	901	0.6
iA	153	318	2011	1.2
i	70	323	1975	0.3
O	62	381	982	0.8
Ia	199	337	2047	0.1
eh	360	519	1850	1.3
aI	75	436	2145	1
e	25	415	1729	1.7
aI	57	502	2212	3.5
e	25	431	1485	4
O	37	406	950	1.7
A	66	590	1296	3.5
oh	144	482	1035	2.9
A	35	435	1330	1
i	85	389	2341	0.8
a	92	478	2138	1.3
i	157	325	2167	0.4
I	68	301	2158	0.5
aI	102	506	2341	1.9
uA	72	435	1815	3.3
eR	121	420	1920	1.9
A	51	508	1682	1.6
eh	408	576	1880	1.4
aI	76	514	1578	2.1
a	162	646	1619	4.3
A	67	722	1479	2.2
aI	43	486	2148	1.8
o	43	399	1367	1.7
A	70	539	1524	4
U	45	333	1359	0.05
U	220	332	752	0.6
eh	93	556	1715	2.6
aI	108	540	1773	1.4
A	86	439	1634	2.1
aI	106	510	1996	1.3
eR	110	358	1931	1
A	48	188	1654	0.03
aI	131	579	1721	0.5
aI	224	449	1835	1.9
eh	85	533	1859	2.3
I	78	339	2062	0.2
eh	103	635	1842	3.1
eR	84	444	1976	3.5
A	37	445	1743	2.6
aI	45	488	1507	1.8
A	26	470	1054	1.4
a	44	472	1225	1
e	26	406	1053	1.4
I	23	319	1916	0.2
aI	125	414	1896	0.6
E	39	385	1827	1.1
oI	47	393	1873	0.9
O	40	373	1225	0.7
I	54	301	1963	0.06
U	37	311	1019	0.3
u	92	340	1043	0.8
A	54	395	1368	0.8
i	483	269	2216	0.03
aI	125	499	1993	0.8
e	19	397	1696	1.2
aI	57	485	1902	1.8
E	42	402	1865	1.8
a	77	601	1705	2.1
Ia	75	467	1536	3.1
u	65	304	941	0.2
